,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,state
383,4200 N Sheridan Rd,Elementary School,US,Chicago,United States,,1022,"['4200 N Sheridan Rd', 'Chicago, IL 60613', 'United States']",502aba36e4b03bf25b01f198,"[{'label': 'display', 'lat': 41.95858878065987, 'lng': -87.65586117431731}]",41.95858878,-87.65586117,St Mary Of The Lake School,,60613,IL
719,,Movie Theater,US,Chicago,United States,,1021,"['Chicago, IL 60647', 'United States']",502ee8d3e4b060c1a5295e3a,"[{'label': 'display', 'lat': 41.91872024536133, 'lng': -87.69841766357422}]",41.91872025,-87.69841766,Movies on the lawn,,60647,IL
608,645 webster,Park,US,Chicago,United States,,711,"['645 webster', 'Chicago, IL 60614', 'United States']",50337eabe4b0488f308299c0,"[{'label': 'display', 'lat': 41.92151432860337, 'lng': -87.64203459827627}]",41.92151433,-87.6420346,Tai Chi in Oz Park,,60614,IL
438,,Bowling Alley,US,Chicago,United States,,778,"['Chicago, IL 60647', 'United States']",50359412e4b0006c006170f6,"[{'label': 'display', 'lat': 41.924031, 'lng': -87.726147}]",41.924031,-87.726147,Alpha Wolfe Squadron,,60647,IL
91,,Park,US,Chicago,United States,,947,"['Chicago, IL 60622', 'United States']",5036d70be4b04a184bb049ae,"[{'label': 'display', 'lat': 41.91459, 'lng': -87.676826}]",41.91459,-87.676826,The Lorax at Churchill Park,,60622,IL
419,,Indie Movie Theater,US,Chicago,United States,,680,"['Chicago, IL 60613', 'United States']",50427cdfe4b0f30042094606,"[{'label': 'display', 'lat': 41.954447, 'lng': -87.664511}]",41.954447,-87.664511,Sleepwalk With Me Premiere At Music Box,,60613,IL
141,,Park,US,Chicago,United States,,697,"['Chicago, IL 60610', 'United States']",5043c1eae4b0ba0a535de668,"[{'label': 'display', 'lat': 41.895740264899906, 'lng': -87.63708106357348}]",41.89574026,-87.63708106,Park @ 757 Orleans,,60610,IL
177,,Elementary School,US,Chicago,United States,,419,"['Chicago, IL 60622', 'United States']",5048a94ee4b0ac40faac569c,"[{'label': 'display', 'lat': 41.90323489513893, 'lng': -87.67440749433058}]",41.9032349,-87.67440749,Sensory Room,,60622,IL
499,3018 N Racine Ave,Indie Movie Theater,US,Chicago,United States,Nelson,220,"['3018 N Racine Ave (Nelson)', 'Chicago, IL 60657', 'United States']",50513b96e4b0ccc9e0893ab2,"[{'label': 'display', 'lat': 41.93780405760537, 'lng': -87.65910764420927}]",41.93780406,-87.65910764,MTN patio theater,,60657,IL
201,2000 West North,Park,US,Chicago,United States,Damen,1172,"['2000 West North (Damen)', 'Chicago, IL 60622', 'United States']",5055e0bde4b055f81c54e780,"[{'label': 'display', 'lat': 41.90985766227349, 'lng': -87.67654021878954}]",41.90985766,-87.67654022,Open Streets,,60622,IL
388,,Elementary School,US,Chicago,United States,,1092,"['Chicago, IL 60640', 'United States']",506114cee4b0831609aa88a3,"[{'label': 'display', 'lat': 41.963995015526464, 'lng': -87.65604903273257}]",41.96399502,-87.65604903,Stewart Elementary,,60640,IL
420,3844 N Ashland Ave,Movie Theater,US,Chicago,United States,,888,"['3844 N Ashland Ave', 'Chicago, IL 60613', 'United States']",506a2e98e4b09a4647afe5a5,"[{'label': 'display', 'lat': 41.95201324545335, 'lng': -87.66916349020408}]",41.95201325,-87.66916349,The Ashby Theatre,,60613,IL
830,,Indie Movie Theater,US,Chicago,United States,,635,"['Chicago, IL 60611', 'United States']",5078641be4b04688638cef81,"[{'label': 'display', 'lat': 41.891578674316406, 'lng': -87.61788940429688}]",41.89157867,-87.6178894,The Front Row of The Regular Moviegoer,,60611,IL
2258,,Movie Theater,US,Chicago,United States,,807,"['Chicago, IL 60612', 'United States']",5081d8b6e4b00dbb9ccca6ea,"[{'label': 'display', 'lat': 41.886843856381425, 'lng': -87.66858562811278}]",41.88684386,-87.66858563,3M Instant Cinema,,60612,IL
2262,,Movie Theater,US,Chicago,United States,,1366,"['Chicago, IL 60612', 'United States']",50820c7ee4b05e91344885d4,"[{'label': 'display', 'lat': 41.8813272880288, 'lng': -87.67160006141121}]",41.88132729,-87.67160006,3M Instant Cinema,,60612,IL
